frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,19618.379298,0,,,,,,,,,,,,,,
1,19618.422577,0,,,,,,,,,,,,,,
2,19618.468810,1,1285.19,552.56,167.75,158.62,0.5554,0.8228,0.9361,93.2192,0.7863,0,0.3459,-0.0347,0.8228
3,19618.481521,1,1285.19,552.56,167.75,158.62,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
4,19618.510930,1,1285.19,552.56,167.75,158.62,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
5,19618.559671,1,1287.00,552.78,174.25,159.31,0.6619,0.7928,0.9132,95.5624,0.4499,0,0.3352,-0.0332,0.7928
6,19618.583329,1,1287.00,552.78,174.25,159.31,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
7,19618.604409,1,1287.00,552.78,174.25,159.31,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
8,19618.627514,1,1284.78,552.81,171.56,158.12,0.6575,0.8043,0.9374,93.0956,0.5891,0,0.3377,-0.0336,0.8043
9,19618.645658,1,1284.78,552.81,171.56,158.12,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
10,19618.661576,1,1284.78,552.81,171.56,158.12,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
11,19618.679295,1,1285.56,552.72,174.38,157.19,0.7372,0.7917,0.9162,95.2458,0.5051,0,0.3332,-0.0332,0.7917
12,19618.693388,1,1285.56,552.72,174.38,157.19,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
13,19618.709306,1,1285.56,552.72,174.38,157.19,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
