frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,18302.991649,1,1030.95,479.19,67.97,71.88,0.9353,1.8766,2.3458,37.1992,0.4088,2,0.1623,-0.3286,2.2968
1,18303.012074,1,1030.77,479.52,67.97,72.53,0.9358,1.8766,2.3354,37.3653,0.3452,2,0.1642,-0.3326,2.3319
1,18303.012074,1,1809.22,1060.03,222.69,268.94,0.5224,0.8669,-1.0000,142.9238,0.0000,0,0.9892,0.5685,0.8669
2,18303.036443,1,1030.66,478.88,68.06,71.69,0.9358,1.8740,2.3228,37.5687,0.3605,2,0.1632,-0.3334,2.3230
3,18303.054660,1,1030.72,478.77,67.94,70.84,0.9349,1.8775,2.2916,38.0792,0.4781,2,0.1617,-0.3302,2.2982
4,18303.070665,1,1030.66,479.30,68.11,71.47,0.9344,1.8727,2.3248,37.5353,0.4059,2,0.1633,-0.3321,2.3235
5,18303.086523,1,1030.91,479.28,67.98,71.75,0.9344,1.8762,2.2838,38.2088,0.5210,2,0.1618,-0.3275,2.2908
6,18303.102132,1,1030.61,479.20,67.97,71.34,0.9358,1.8766,2.3160,37.6781,0.3920,2,0.1626,-0.3314,2.3165
7,18303.118238,1,1030.62,479.05,68.25,71.22,0.9358,1.8688,2.3099,37.7783,0.3759,2,0.1622,-0.3310,2.3101
8,18303.134132,1,1030.93,479.09,68.08,71.62,0.9344,1.8736,2.2921,38.0711,0.4612,2,0.1622,-0.3289,2.2964
9,18303.149708,1,1030.64,479.12,68.28,71.50,0.9363,1.8680,2.3223,37.5765,0.4066,2,0.1630,-0.3321,2.3197
10,18303.173583,1,1030.50,479.02,67.81,71.97,0.9372,1.8809,2.3280,37.4838,0.3780,2,0.1631,-0.3336,2.3276
11,18303.190675,1,1030.92,478.98,67.97,71.11,0.9339,1.8766,2.2925,38.0651,0.4357,2,0.1623,-0.3295,2.2979
12,18303.206436,1,1030.56,478.95,68.19,70.91,0.9372,1.8705,2.3147,37.6997,0.3908,2,0.1623,-0.3319,2.3145
13,18303.222286,1,1030.36,479.36,67.91,71.78,0.9395,1.8783,2.3235,37.5574,0.3729,2,0.1623,-0.3319,2.3235
14,18303.238146,1,1030.61,479.16,68.28,71.50,0.9363,1.8680,2.3008,37.9271,0.4646,2,0.1617,-0.3296,2.3030
15,18303.253912,1,1030.44,479.03,67.81,71.31,0.9386,1.8809,2.3145,37.7029,0.4076,2,0.1621,-0.3320,2.3167
16,18303.269722,1,1030.17,479.19,67.78,71.88,0.9404,1.8817,2.3187,37.6339,0.4069,2,0.1615,-0.3320,2.3206
17,18303.285622,1,1030.53,479.42,68.19,72.16,0.9368,1.8705,2.2845,38.1986,0.4900,2,0.1605,-0.3269,2.2901
18,18303.301408,1,1030.41,478.97,68.19,71.38,0.9386,1.8705,2.3093,37.7870,0.4135,2,0.1615,-0.3312,2.3099
19,18303.317254,1,1029.99,478.95,67.98,71.84,0.9412,1.8760,2.3451,37.2108,0.3987,2,0.1623,-0.3356,2.3406
