frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,19421.129790,1,992.83,576.46,29.04,29.10,0.8800,4.3829,5.2143,16.7354,0.6861,1,0.1001,-0.0510,5.4888
1,19421.147682,1,994.05,577.84,29.09,28.31,0.8715,4.3742,5.1543,16.9302,0.7145,1,0.1081,-0.0401,5.4256
2,19421.176533,1,994.77,579.30,29.78,29.78,0.8643,4.2733,5.0754,17.1936,0.8386,1,0.1117,-0.0288,5.3425
3,19421.192322,1,994.65,579.08,29.51,29.02,0.8783,4.3123,5.0580,17.2526,0.8111,1,0.1105,-0.0303,5.3242
4,19421.208230,1,995.11,579.27,29.88,29.55,0.8758,4.2588,5.0290,17.3521,0.7480,1,0.1132,-0.0287,5.2937
5,19421.224146,1,995.02,578.84,29.35,28.47,0.8766,4.3359,5.1217,17.0381,0.7499,1,0.1146,-0.0324,5.3913
6,19421.239985,1,994.80,578.82,29.45,28.70,0.8800,4.3221,5.1698,16.8795,0.6864,1,0.1140,-0.0329,5.4419
7,19421.255842,1,995.14,579.52,29.70,29.31,0.8741,4.2857,5.1813,16.8421,0.7378,1,0.1168,-0.0277,5.4540
8,19421.271675,1,995.57,580.24,30.15,30.49,0.8783,4.2214,5.0970,17.1207,0.7876,1,0.1181,-0.0220,5.3652
9,19421.287627,1,995.28,579.60,29.96,29.08,0.8758,4.2477,5.0271,17.3588,0.8028,1,0.1144,-0.0263,5.2917
10,19421.303477,1,995.26,580.58,30.19,30.09,0.8706,4.2150,5.0271,17.3587,0.8416,1,0.1142,-0.0192,5.2917
11,19421.319359,1,995.41,580.82,30.79,30.45,0.8775,4.1335,5.0499,17.2803,0.8694,1,0.1158,-0.0175,5.3157
12,19421.335176,1,995.12,581.17,31.45,30.91,0.8848,4.0462,5.0418,17.3083,0.8895,1,0.1135,-0.0149,5.3071
13,19421.351068,1,995.62,581.68,31.40,31.39,0.8706,4.0533,5.0097,17.4190,0.9719,1,0.1165,-0.0111,5.2734
14,19421.366966,1,994.95,581.56,31.16,30.57,0.8775,4.0847,4.9845,17.5071,0.9445,1,0.1110,-0.0119,5.2468
15,19421.382889,1,994.65,580.34,30.48,29.41,0.8783,4.1758,5.1720,16.8725,0.8176,1,0.1130,-0.0215,5.4442
16,19421.400673,1,994.12,580.32,29.51,29.93,0.8597,4.3123,5.2372,16.6624,0.8211,1,0.1104,-0.0220,5.5128
17,19421.417803,1,994.06,578.17,29.44,28.34,0.8808,4.3231,5.0843,17.1633,0.7908,1,0.1067,-0.0371,5.3519
18,19421.433773,1,993.10,576.98,29.44,29.22,0.8903,4.3224,5.1887,16.8180,0.7935,1,0.1016,-0.0468,5.4618
19,19421.450242,1,991.78,574.66,28.32,29.54,0.8741,4.4940,5.3766,16.2304,0.6229,1,0.0951,-0.0666,5.6596
20,19421.467090,1,991.70,572.26,29.00,28.77,0.8643,4.3881,4.9633,17.5820,0.9249,1,0.0864,-0.0780,5.1752
21,19421.482646,1,990.62,567.95,29.52,30.17,0.8732,4.3113,5.1304,17.0092,0.8562,1,0.0813,-0.1123,5.3494
22,19421.501136,1,989.47,562.67,30.00,30.88,0.8963,4.2416,4.9735,17.5458,0.8485,1,0.0706,-0.1465,5.1859
23,19421.517062,1,987.45,555.90,27.42,27.68,0.8661,4.6402,5.0381,17.3210,0.7321,1,0.0566,-0.1960,5.2187
24,19421.532937,1,986.99,547.99,28.68,30.71,0.8832,4.4367,5.1217,17.0381,0.7210,1,0.0542,-0.2570,5.3053
25,19421.550715,1,984.52,540.38,27.75,29.80,0.8366,4.5852,5.2783,16.5325,0.5516,1,0.0372,-0.3221,5.4676
26,19421.566878,1,983.70,531.60,29.23,28.89,0.8688,4.3535,5.1226,17.0353,0.7706,1,0.0302,-0.3767,5.3062
27,19421.582840,1,983.81,522.27,28.00,28.23,0.9060,4.5442,5.4987,15.8700,0.6615,1,0.0333,-0.4774,5.6958
28,19421.600752,1,984.12,514.44,30.50,29.84,0.9258,4.1718,5.0181,17.3900,0.6996,1,0.0325,-0.4917,5.1980
29,19421.617550,1,983.26,506.01,30.52,29.95,0.9225,4.1696,5.1705,16.8773,0.5852,1,0.0272,-0.5687,5.3559
30,19421.633432,1,982.98,499.02,30.55,31.73,0.9289,4.1643,5.0362,17.3275,0.6250,1,0.0245,-0.6041,5.2167
31,19421.650813,1,982.87,490.17,29.99,30.19,0.9053,4.2424,5.1561,16.9243,0.5911,1,0.0243,-0.6835,5.3410
32,19421.666871,1,982.84,482.94,30.47,30.46,0.9279,4.1760,4.9495,17.6310,0.5959,1,0.0231,-0.7071,5.1269
