frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,14240.979275,1,1005.56,504.56,149.50,146.75,0.9522,0.8508,1.0116,86.2332,0.6385,0,0.0304,-0.0921,0.8508
1,14240.996787,1,1006.09,504.47,149.81,146.19,0.9563,0.8490,1.0051,86.7968,0.7757,0,0.0310,-0.0920,0.8490
2,14241.021413,1,1006.06,503.53,150.38,145.06,0.9598,0.8459,1.0075,86.5842,0.8493,0,0.0308,-0.0927,0.8459
3,14241.039177,1,1005.66,506.28,150.19,148.94,0.9556,0.8469,1.0114,86.2526,0.7877,0,0.0304,-0.0896,0.8469
4,14241.055076,1,1005.44,506.00,150.25,147.50,0.9556,0.8466,1.0112,86.2726,0.8212,0,0.0301,-0.0899,0.8466
5,14241.071026,1,1005.31,504.53,150.50,144.94,0.9576,0.8452,1.0159,85.8721,0.8207,0,0.0299,-0.0915,0.8452
6,14241.086922,1,1004.86,505.09,149.72,145.19,0.9529,0.8496,1.0141,86.0213,0.7551,0,0.0296,-0.0913,0.8496
7,14241.102864,1,1004.56,505.78,150.50,145.81,0.9556,0.8452,1.0150,85.9487,0.7619,0,0.0291,-0.0900,0.8452
8,14241.118811,1,1004.12,506.36,151.38,146.91,0.9556,0.8403,1.0092,86.4454,0.9093,0,0.0284,-0.0888,0.8403
9,14241.134705,1,1003.91,507.19,151.19,146.88,0.9553,0.8413,1.0052,86.7830,0.7228,0,0.0282,-0.0880,0.8413
10,14241.150608,1,1003.84,508.16,151.44,148.06,0.9563,0.8399,0.9972,87.4852,0.7070,0,0.0281,-0.0867,0.8399
11,14241.166500,1,1003.81,506.69,152.00,145.12,0.9566,0.8368,0.9957,87.6122,0.8209,0,0.0279,-0.0881,0.8368
12,14241.182408,1,1003.59,508.00,151.19,145.62,0.9553,0.8413,1.0047,86.8264,0.7564,0,0.0278,-0.0871,0.8413
13,14241.198291,1,1003.34,509.28,150.94,148.06,0.9556,0.8427,0.9954,87.6434,0.6724,0,0.0276,-0.0857,0.8427
14,14241.214219,1,1003.69,508.34,151.62,146.44,0.9550,0.8389,0.9929,87.8625,0.7906,0,0.0278,-0.0864,0.8389
15,14241.230093,1,1003.69,508.88,151.38,146.38,0.9550,0.8403,1.0017,87.0893,0.7245,0,0.0279,-0.0859,0.8403
16,14241.246011,1,1003.69,508.72,151.00,146.44,0.9560,0.8424,0.9989,87.3309,0.7291,0,0.0280,-0.0863,0.8424
17,14241.261958,1,1003.78,508.25,151.81,145.50,0.9553,0.8379,0.9881,88.2842,0.7640,0,0.0279,-0.0864,0.8379
18,14241.277887,1,1003.41,510.97,151.94,149.31,0.9536,0.8372,0.9824,88.8015,0.6511,0,0.0275,-0.0832,0.8372
