frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,18980.649433,1,980.20,696.61,33.90,32.79,0.8688,3.7535,4.3879,19.8875,0.7803,2,0.0039,0.7047,4.5188
1,18980.663085,1,980.72,696.55,33.45,32.72,0.8998,3.8043,4.5404,19.2195,0.6600,1,0.0076,0.7450,4.7794
2,18980.719800,1,980.49,696.55,33.20,32.77,0.8510,3.8321,4.3828,19.9105,0.6763,1,0.0058,0.7119,4.5669
3,18980.774529,1,980.50,696.69,33.16,32.65,0.8791,3.8375,4.4149,19.7659,0.7897,1,0.0059,0.7180,4.6004
4,18980.797666,1,980.49,696.69,33.32,32.62,0.8998,3.8186,4.3724,19.9579,0.7842,1,0.0057,0.7043,4.5125
5,18980.821444,1,980.49,696.42,33.41,32.34,0.8918,3.8079,4.4000,19.8329,0.7518,1,0.0058,0.7070,4.5410
6,18980.840225,1,980.37,696.81,34.15,33.50,0.8832,3.7260,4.4153,19.7641,0.7536,1,0.0051,0.7120,4.5568
7,18980.856253,1,980.53,696.26,33.43,32.40,0.9047,3.8061,4.4588,19.5715,0.7156,1,0.0061,0.7155,4.6016
8,18980.872248,1,980.40,696.48,33.86,33.41,0.9060,3.7578,4.4502,19.6089,0.7388,1,0.0053,0.7155,4.5928
9,18980.888182,1,980.33,696.65,33.10,33.10,0.8749,3.8438,4.5253,19.2838,0.7038,1,0.0049,0.7287,4.6703
10,18980.904160,1,980.05,696.38,33.61,32.38,0.8963,3.7858,4.5504,19.1774,0.6787,1,0.0032,0.7309,4.6962
11,18980.920068,1,980.28,696.60,33.94,32.95,0.9005,3.7492,4.4368,19.6682,0.7310,1,0.0045,0.7141,4.5790
12,18980.936045,1,980.87,696.53,33.40,32.98,0.8679,3.8097,4.5166,19.3209,0.7528,1,0.0084,0.7265,4.6613
13,18980.951981,1,980.38,696.55,33.89,33.28,0.9067,3.7544,4.4599,19.5665,0.7012,1,0.0052,0.7175,4.6028
14,18980.967935,1,980.24,696.64,34.13,33.23,0.8955,3.7277,4.4133,19.7732,0.7277,1,0.0042,0.7106,4.5547
