frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,19216.053198,1,971.38,666.19,20.18,20.46,0.7718,6.3066,7.6657,11.3834,0.7462,1,-0.0908,0.9209,8.0691
1,19216.070482,1,971.16,666.47,20.35,20.96,0.8210,6.2521,7.5564,11.5480,0.7749,1,-0.0920,0.9108,7.9541
2,19216.097472,1,971.30,666.03,19.97,19.99,0.8056,6.3720,7.6328,11.4324,0.8114,1,-0.0913,0.9151,8.0345
3,19216.115829,1,971.33,666.30,20.11,20.59,0.8408,6.3262,7.6227,11.4476,0.7442,1,-0.0908,0.9170,8.0239
4,19216.131694,1,971.33,666.02,20.02,19.98,0.7606,6.3546,7.5916,11.4944,0.7744,1,-0.0905,0.9101,7.9911
5,19216.147587,1,971.15,666.46,20.40,21.05,0.7535,6.2378,7.4882,11.6532,0.8547,1,-0.0912,0.9025,7.8823
6,19216.163517,1,971.20,666.47,20.17,20.57,0.7402,6.3078,7.5900,11.4969,0.8257,1,-0.0920,0.9149,7.9894
7,19216.179473,1,971.35,666.12,20.36,20.31,0.7905,6.2485,7.6669,11.3815,0.7864,1,-0.0912,0.9203,8.0704
8,19216.195282,1,971.17,666.54,20.00,20.98,0.8322,6.3608,7.6218,11.4489,0.7436,1,-0.0926,0.9195,8.0230
9,19216.211095,1,971.19,666.81,20.54,21.39,0.8152,6.1951,7.3740,11.8337,0.7890,1,-0.0894,0.8925,7.7621
10,19216.226923,1,971.25,666.12,20.04,20.16,0.8081,6.3496,7.6360,11.4276,0.8316,1,-0.0920,0.9165,8.0379
11,19216.242764,1,971.15,666.53,20.39,20.87,0.8333,6.2402,7.4061,11.7823,0.8054,1,-0.0903,0.8933,7.7959
12,19216.258655,1,971.30,666.38,20.26,20.53,0.7217,6.2798,7.6433,11.4166,0.8135,1,-0.0915,0.9203,8.0456
13,19216.274532,1,971.20,666.16,20.06,20.06,0.7621,6.3434,7.5987,11.4836,0.8225,1,-0.0921,0.9126,7.9987
14,19216.291845,1,971.26,666.35,20.18,20.56,0.8387,6.3066,7.6286,11.4387,0.8014,1,-0.0918,0.9182,8.0301
15,19216.307813,1,971.33,666.18,20.08,20.25,0.8289,6.3360,7.6498,11.4069,0.8135,1,-0.0912,0.9189,8.0525
16,19216.323761,1,971.16,666.30,20.33,20.76,0.8007,6.2593,7.6279,11.4398,0.7530,1,-0.0928,0.9176,8.0293
17,19216.341337,1,971.22,666.27,20.23,20.64,0.8245,6.2908,7.6687,11.3789,0.7748,1,-0.0926,0.9222,8.0723
18,19216.357424,1,971.42,666.00,20.04,19.89,0.7879,6.3496,7.6665,11.3821,0.7387,1,-0.0904,0.9189,8.0700
19,19216.373097,1,971.46,666.06,20.11,20.00,0.8032,6.3286,7.6251,11.4439,0.8186,1,-0.0895,0.9147,8.0264
20,19216.391878,1,971.44,665.96,19.82,19.99,0.8333,6.4197,7.7289,11.2902,0.6835,1,-0.0909,0.9260,8.1357
21,19216.407307,1,971.20,666.17,20.09,20.34,0.7982,6.3336,7.6029,11.4774,0.8029,1,-0.0921,0.9132,8.0030
22,19216.425166,1,971.35,666.24,20.27,20.40,0.8333,6.2774,7.6123,11.4632,0.8146,1,-0.0905,0.9151,8.0129
23,19216.441156,1,971.51,666.24,19.98,20.38,0.7476,6.3682,7.5942,11.4905,0.8221,1,-0.0886,0.9129,7.9939
24,19216.457643,1,971.33,666.22,19.79,20.25,0.7892,6.4311,7.6193,11.4527,0.8163,1,-0.0908,0.9157,8.0203
25,19216.473500,1,971.52,665.99,20.19,20.14,0.8439,6.3029,7.6452,11.4138,0.7587,1,-0.0890,0.9163,8.0476
26,19216.491026,1,971.30,666.25,19.84,20.33,0.8376,6.4146,7.6284,11.4389,0.8360,1,-0.0913,0.9171,8.0299
27,19216.506673,1,971.25,666.51,20.29,20.64,0.7759,6.2714,7.5710,11.5256,0.8274,1,-0.0911,0.9130,7.9695
28,19216.524555,1,971.18,666.29,20.37,20.65,0.7944,6.2473,7.3983,11.7947,0.8187,1,-0.0899,0.8899,7.7877
29,19216.541581,1,971.31,666.71,20.43,21.02,0.7879,6.2282,7.6264,11.4419,0.7312,1,-0.0912,0.9219,8.0278
30,19216.557047,1,971.22,666.78,20.59,21.04,0.8044,6.1786,7.3517,11.8695,0.7841,1,-0.0888,0.8895,7.7386
31,19216.574797,1,971.14,666.55,20.52,20.68,0.7892,6.2010,7.3783,11.8268,0.8637,1,-0.0900,0.8903,7.7666
32,19216.591312,1,971.32,666.43,20.36,20.67,0.7705,6.2485,7.6027,11.4776,0.7763,1,-0.0908,0.9160,8.0029
33,19216.606150,1,971.46,665.87,19.74,19.80,0.6406,6.4451,7.6759,11.3682,0.6787,1,-0.0900,0.9186,8.0799
34,19216.624678,1,971.17,666.42,20.32,20.79,0.8233,6.2617,7.5947,11.4897,0.7886,1,-0.0923,0.9149,7.9944
35,19216.641766,1,971.35,666.40,20.36,20.70,0.7549,6.2485,7.5699,11.5273,0.8151,1,-0.0900,0.9117,7.9683
36,19216.657058,1,971.30,666.29,20.26,20.45,0.8032,6.2798,7.5575,11.5463,0.8033,1,-0.0905,0.9091,7.9553
37,19216.673040,1,971.34,665.74,19.79,19.51,0.8056,6.4311,7.7017,11.3301,0.6988,1,-0.0917,0.9202,8.1070
38,19216.691254,1,971.37,666.09,19.95,20.11,0.8056,6.3795,7.6209,11.4503,0.8224,1,-0.0904,0.9145,8.0220
39,19216.707098,1,971.03,666.53,20.52,20.91,0.8141,6.2010,7.4055,11.7833,0.8552,1,-0.0915,0.8933,7.7952
40,19216.722484,1,971.19,665.97,20.12,20.10,0.8210,6.3225,7.6832,11.3574,0.7882,1,-0.0932,0.9206,8.0875
41,19216.740821,1,971.26,666.26,20.07,20.57,0.8490,6.3410,7.6542,11.4005,0.7318,1,-0.0920,0.9203,8.0570
42,19216.757942,1,971.18,666.36,20.06,20.47,0.8007,6.3434,7.6107,11.4656,0.8224,1,-0.0924,0.9162,8.0113
43,19216.772706,1,971.23,666.18,20.48,20.51,0.5927,6.2116,7.4594,11.6981,0.7691,1,-0.0901,0.8960,7.8520
44,19216.791199,1,971.28,666.07,20.03,20.18,0.8387,6.3533,7.6816,11.3597,0.7400,1,-0.0922,0.9215,8.0859
45,19216.807439,1,971.25,666.47,20.40,20.55,0.7592,6.2378,7.5737,11.5216,0.7643,1,-0.0912,0.9130,7.9723
46,19216.825606,1,971.25,666.30,20.16,20.38,0.7718,6.3115,7.6086,11.4687,0.7844,1,-0.0916,0.9153,8.0091
47,19216.838762,1,971.18,666.42,20.30,20.83,0.7732,6.2666,7.6008,11.4805,0.8082,1,-0.0922,0.9157,8.0008
48,19216.858630,1,971.14,666.41,20.41,20.59,0.7535,6.2330,7.4174,11.7643,0.8192,1,-0.0904,0.8935,7.8078
49,19216.872621,1,971.12,666.04,19.97,20.04,0.7905,6.3707,7.5916,11.4944,0.7770,1,-0.0928,0.9103,7.9912
50,19216.887148,1,971.19,666.71,20.20,20.93,0.7786,6.3005,7.6470,11.4111,0.7277,1,-0.0927,0.9245,8.0495
51,19216.909922,1,971.29,666.22,20.25,20.36,0.8056,6.2823,7.5866,11.5020,0.8163,1,-0.0908,0.9117,7.9859
52,19216.924361,1,971.15,666.41,20.52,20.78,0.7759,6.2010,7.3885,11.8104,0.8305,1,-0.0900,0.8900,7.7773
53,19216.945912,1,971.22,666.58,20.10,20.74,0.8376,6.3311,7.5894,11.4977,0.7884,1,-0.0917,0.9160,7.9888
54,19216.966372,1,971.20,666.23,20.12,20.40,0.7520,6.3237,7.6076,11.4702,0.8238,1,-0.0922,0.9144,8.0080
