frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,18769.993819,1,1021.84,760.71,64.25,63.86,0.9247,1.9835,2.3300,37.4497,0.7805,2,0.1353,0.5681,2.3269
1,18770.009601,1,1022.05,759.73,64.03,62.59,0.9247,1.9903,2.3103,37.7685,0.6904,2,0.1366,0.5676,2.3377
2,18770.037122,1,1021.95,760.29,64.48,63.20,0.9263,1.9763,2.2979,37.9733,0.7650,2,0.1355,0.5662,2.3248
3,18770.054730,1,1022.05,760.06,63.91,63.62,0.9258,1.9942,2.3083,37.8016,0.7093,2,0.1365,0.5685,2.3369
4,18770.070532,1,1021.78,759.98,64.12,62.70,0.9247,1.9874,2.3240,37.5464,0.7603,2,0.1364,0.5711,2.3488
5,18770.086481,1,1021.98,759.85,63.97,62.83,0.9247,1.9923,2.3221,37.5771,0.6901,2,0.1370,0.5707,2.3488
6,18770.102400,1,1021.82,760.94,64.73,64.25,0.9247,1.9687,2.2854,38.1810,0.7680,2,0.1345,0.5656,2.3136
7,18770.118328,1,1021.87,759.68,64.27,62.92,0.9263,1.9831,2.3053,37.8502,0.8028,2,0.1357,0.5661,2.3324
8,18770.134310,1,1021.84,759.79,64.06,62.89,0.9263,1.9893,2.3379,37.3235,0.7990,2,0.1373,0.5734,2.3607
9,18770.150256,1,1021.95,761.10,64.66,64.29,0.9247,1.9711,2.2765,38.3300,0.7879,2,0.1345,0.5644,2.3065
10,18770.166198,1,1021.69,759.69,64.50,62.25,0.9252,1.9758,2.3548,37.0552,0.7943,2,0.1374,0.5757,2.3716
11,18770.182182,1,1021.83,759.66,64.28,62.44,0.9247,1.9826,2.3458,37.1968,0.8073,2,0.1376,0.5744,2.3666
12,18770.198147,1,1021.86,760.22,63.84,62.88,0.9247,1.9962,2.3412,37.2709,0.7477,2,0.1377,0.5761,2.3662
13,18770.214091,1,1021.66,759.49,64.36,62.98,0.9252,1.9801,2.3574,37.0137,0.7397,2,0.1376,0.5763,2.3769
14,18770.230048,1,1021.67,759.73,64.34,62.58,0.9274,1.9806,2.3386,37.3112,0.7614,2,0.1368,0.5734,2.3619
15,18770.245986,1,1021.88,761.01,64.12,64.02,0.9258,1.9874,2.3172,37.6570,0.7555,2,0.1365,0.5736,2.3454
16,18770.261906,1,1021.67,759.99,64.53,63.17,0.9252,1.9749,2.3275,37.4897,0.7694,2,0.1362,0.5717,2.3510
17,18770.277876,1,1022.08,760.02,64.09,62.84,0.9263,1.9884,2.3079,37.8079,0.6645,2,0.1367,0.5684,2.3373
18,18770.293693,1,1022.13,760.70,64.30,64.02,0.9252,1.9821,2.2861,38.1693,0.7939,2,0.1357,0.5657,2.3173
19,18770.309580,1,1021.63,759.97,64.80,63.31,0.9252,1.9668,2.3153,37.6868,0.8315,2,0.1353,0.5683,2.3375
20,18770.325500,1,1021.64,759.94,63.91,62.88,0.9263,1.9942,2.3283,37.4772,0.7735,2,0.1362,0.5722,2.3538
21,18770.341394,1,1022.02,760.85,63.97,63.83,0.9241,1.9923,2.2937,38.0430,0.6753,2,0.1357,0.5681,2.3249
22,18770.357331,1,1021.88,760.25,64.12,63.62,0.9263,1.9874,2.3131,37.7225,0.7882,2,0.1362,0.5697,2.3396
23,18770.376914,1,1021.91,760.17,64.05,63.22,0.9258,1.9898,2.3443,37.2207,0.7501,2,0.1378,0.5759,2.3658
24,18770.392781,1,1022.04,760.95,64.48,64.39,0.9241,1.9764,2.3016,37.9124,0.8188,2,0.1360,0.5692,2.3281
25,18770.408699,1,1021.94,759.84,64.38,63.05,0.9263,1.9797,2.3228,37.5656,0.7740,2,0.1367,0.5700,2.3461
26,18770.424627,1,1021.99,760.04,64.02,63.02,0.9258,1.9908,2.3185,37.6360,0.7524,2,0.1368,0.5703,2.3450
27,18770.440525,1,1022.11,760.85,64.34,64.33,0.9252,1.9807,2.2973,37.9821,0.7926,2,0.1361,0.5682,2.3254
28,18770.457279,1,1021.86,759.72,64.16,62.56,0.9268,1.9864,2.3394,37.2986,0.7574,2,0.1374,0.5732,2.3612
29,18770.473161,1,1021.95,760.66,64.61,63.19,0.9258,1.9725,2.2898,38.1070,0.8000,2,0.1351,0.5656,2.3175
30,18770.488543,1,1022.09,760.95,64.38,64.14,0.9252,1.9797,2.2870,38.1544,0.8058,2,0.1355,0.5662,2.3163
31,18770.504497,1,1021.82,759.53,64.48,62.56,0.9258,1.9763,2.3280,37.4813,0.7932,2,0.1365,0.5697,2.3491
32,18770.522423,1,1022.09,759.95,64.06,62.84,0.9247,1.9894,2.3096,37.7803,0.7247,2,0.1367,0.5681,2.3370
