frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,18681.189659,1,1028.28,993.03,164.94,191.56,0.9493,0.7732,0.9130,95.5825,0.9840,0,0.0518,0.4358,0.7732
1,18681.211356,1,1027.44,993.41,165.62,192.44,0.9508,0.7699,0.9067,96.2406,0.9971,0,0.0507,0.4343,0.7699
2,18681.263358,1,1027.66,994.12,165.69,193.62,0.9497,0.7696,0.9092,95.9849,0.9664,0,0.0509,0.4350,0.7696
3,18681.286966,1,1027.44,992.62,165.62,190.88,0.9550,0.7699,0.9098,95.9203,0.9606,0,0.0507,0.4335,0.7699
4,18681.308109,1,1027.56,993.12,165.50,191.50,0.9560,0.7705,0.9101,95.8833,0.9904,0,0.0509,0.4344,0.7705
5,18681.328975,1,1027.88,993.66,165.25,192.31,0.9529,0.7717,0.9172,95.1439,0.9964,0,0.0513,0.4356,0.7717
6,18681.346989,1,1027.38,993.59,165.88,191.94,0.9522,0.7687,0.9120,95.6869,0.9529,0,0.0506,0.4339,0.7687
7,18681.362982,1,1027.81,993.66,165.00,191.69,0.9442,0.7728,0.9160,95.2719,0.9593,0,0.0513,0.4363,0.7728
8,18681.378620,1,1027.56,993.12,165.50,192.12,0.9533,0.7705,0.9083,96.0753,0.9612,0,0.0509,0.4344,0.7705
9,18681.394714,1,1027.38,993.00,165.88,191.50,0.9533,0.7687,0.9067,96.2504,0.9610,0,0.0506,0.4333,0.7687
10,18681.410658,1,1027.77,994.06,165.78,193.00,0.9462,0.7692,0.9027,96.6754,0.9720,0,0.0510,0.4346,0.7692
11,18681.426257,1,1027.59,993.09,165.69,191.94,0.9536,0.7696,0.9046,96.4698,0.9721,0,0.0508,0.4339,0.7696
12,18681.442446,1,1027.38,993.84,165.50,193.56,0.9529,0.7705,0.9076,96.1541,0.9557,0,0.0507,0.4351,0.7705
13,18681.458419,1,1027.97,992.97,165.31,191.19,0.9500,0.7714,0.9227,94.5771,0.9791,0,0.0514,0.4347,0.7714
14,18681.477180,1,1027.50,993.22,165.38,191.81,0.9526,0.7711,0.9098,95.9199,0.9694,0,0.0508,0.4348,0.7711
15,18681.498858,1,1027.28,992.56,166.44,191.12,0.9550,0.7661,0.9052,96.4011,0.9964,0,0.0503,0.4313,0.7661
16,18681.515785,1,1028.09,992.97,164.31,192.19,0.9425,0.7761,0.9070,96.2172,0.9380,0,0.0518,0.4374,0.7761
17,18681.531607,1,1027.59,993.59,165.31,192.94,0.9519,0.7714,0.9080,96.1057,0.9831,0,0.0510,0.4354,0.7714
18,18681.547537,1,1027.56,993.38,165.75,192.50,0.9526,0.7693,0.9063,96.2913,0.9628,0,0.0508,0.4340,0.7693
19,18681.563406,1,1028.06,994.28,164.62,193.06,0.9442,0.7746,0.9096,95.9370,0.9575,0,0.0517,0.4379,0.7746
20,18681.579268,1,1027.66,994.03,165.31,193.69,0.9526,0.7714,0.9155,95.3196,0.9719,0,0.0510,0.4358,0.7714
21,18681.595100,1,1027.34,993.91,166.19,193.44,0.9553,0.7673,0.9033,96.6102,0.9612,0,0.0504,0.4334,0.7673
22,18681.610995,1,1028.16,993.81,165.06,192.62,0.9450,0.7726,0.9157,95.3003,0.9767,0,0.0516,0.4363,0.7726
23,18681.626870,1,1027.66,993.12,165.31,191.38,0.9546,0.7714,0.9155,95.3253,0.9145,0,0.0510,0.4349,0.7714
24,18681.642768,1,1027.34,993.66,165.81,192.81,0.9526,0.7690,0.9053,96.3932,0.9654,0,0.0505,0.4341,0.7690
25,18681.658651,1,1027.94,993.88,164.62,192.38,0.9438,0.7746,0.9153,95.3462,0.9613,0,0.0515,0.4375,0.7746
26,18681.674569,1,1027.56,993.28,165.25,192.69,0.9493,0.7717,0.9078,96.1313,0.9648,0,0.0509,0.4352,0.7717
27,18681.690539,1,1027.31,993.19,165.88,192.25,0.9526,0.7687,0.9082,96.0905,0.9956,0,0.0505,0.4335,0.7687
28,18681.706361,1,1028.34,993.44,163.81,190.50,0.9421,0.7785,0.9161,95.2603,0.9726,0,0.0522,0.4392,0.7785
29,18681.722348,1,1027.50,993.41,165.88,192.19,0.9497,0.7687,0.9126,95.6184,0.9825,0,0.0507,0.4337,0.7687
30,18681.738271,1,1027.41,993.66,165.94,193.31,0.9533,0.7684,0.9039,96.5485,0.9654,0,0.0506,0.4338,0.7684
