frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,19090.375775,1,977.42,676.84,24.09,23.36,0.8791,5.2825,6.3044,13.8425,0.5248,1,-0.0195,0.8545,6.6362
1,19090.393489,1,977.26,676.90,23.56,22.96,0.8732,5.3998,6.3484,13.7465,0.5615,1,-0.0211,0.8610,6.6826
2,19090.419060,1,977.55,676.90,24.00,23.26,0.8732,5.3018,6.3493,13.7446,0.5152,1,-0.0185,0.8612,6.6835
3,19090.443514,1,977.62,676.94,23.98,23.40,0.8758,5.3057,6.3037,13.8441,0.5692,1,-0.0177,0.8553,6.6355
4,19090.460587,1,977.36,676.96,23.72,23.20,0.8775,5.3643,6.3329,13.7803,0.5555,1,-0.0202,0.8595,6.6662
5,19090.476400,1,977.58,676.82,24.22,23.39,0.8724,5.2531,6.3068,13.8373,0.5779,1,-0.0181,0.8547,6.6387
6,19090.492314,1,977.38,676.85,23.62,23.20,0.8766,5.3864,6.2981,13.8564,0.5383,1,-0.0199,0.8538,6.6295
7,19090.507899,1,977.34,676.77,23.56,23.18,0.8800,5.4007,6.3519,13.7390,0.5503,1,-0.0204,0.8603,6.6862
8,19090.524137,1,977.62,677.01,24.33,23.57,0.8732,5.2295,6.3199,13.8085,0.5514,1,-0.0178,0.8582,6.6526
9,19090.540085,1,977.48,676.88,23.79,23.43,0.8775,5.3493,6.3408,13.7631,0.5308,1,-0.0191,0.8598,6.6745
10,19090.555818,1,977.52,676.95,24.28,23.54,0.8775,5.2417,6.3566,13.7288,0.5610,1,-0.0188,0.8626,6.6912
11,19090.571712,1,977.34,676.89,23.98,23.46,0.8724,5.3057,6.2883,13.8779,0.6171,1,-0.0203,0.8528,6.6193
12,19090.587659,1,977.51,676.91,24.02,23.22,0.8766,5.2980,6.3024,13.8469,0.5995,1,-0.0188,0.8548,6.6341
13,19090.603582,1,977.50,676.89,23.94,23.19,0.8758,5.3157,6.3839,13.6702,0.5161,1,-0.0191,0.8658,6.7199
14,19090.619449,1,977.52,676.98,24.28,23.48,0.8732,5.2413,6.3218,13.8044,0.5230,1,-0.0187,0.8581,6.6546
15,19090.635362,1,977.28,677.06,23.60,23.59,0.8775,5.3927,6.2902,13.8738,0.5553,1,-0.0208,0.8546,6.6212
16,19090.650961,1,977.38,676.93,23.83,23.48,0.8758,5.3392,6.3564,13.7292,0.5798,1,-0.0201,0.8624,6.6910
