frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,19466.561215,1,994.24,563.61,21.39,22.39,0.8164,5.9506,7.0420,12.3922,0.6297,1,0.1496,-0.1999,7.4126
1,19466.579277,1,995.41,602.24,22.10,22.91,0.8510,5.7594,6.7685,12.8928,0.6099,1,0.1553,0.1864,7.1248
2,19466.609266,1,995.99,635.24,23.70,24.57,0.8775,5.3703,6.4413,13.5479,0.6690,1,0.1532,0.4852,6.7803
3,19466.631232,1,995.78,643.33,23.88,24.61,0.8933,5.3298,6.3491,13.7445,0.8224,1,0.1491,0.5526,6.6833
4,19466.651278,1,995.83,661.13,23.76,24.77,0.8558,5.3570,6.4476,13.5347,0.8664,1,0.1518,0.7273,6.7869
5,19466.667236,1,996.24,671.00,23.44,23.77,0.8706,5.4294,6.5749,13.2725,0.8310,1,0.1588,0.8356,6.9210
6,19466.682762,1,995.88,680.98,21.91,22.27,0.8606,5.8077,6.9862,12.4911,0.9622,1,0.1650,0.9888,7.3539
7,19466.698707,1,997.11,691.59,23.52,24.67,0.9149,5.4106,6.7148,12.9961,0.9276,1,0.1705,1.0535,7.0682
8,19466.714686,1,996.56,690.72,23.38,24.26,0.9040,5.4449,6.3789,13.6804,0.9945,1,0.1570,0.9928,6.7146
9,19466.730924,1,995.54,681.82,22.14,22.66,0.8741,5.7493,7.1262,12.2457,0.7818,1,0.1648,1.0173,7.5013
10,19466.746818,1,994.93,673.25,22.24,21.66,0.7233,5.7229,6.8054,12.8231,0.7590,1,0.1514,0.8871,7.1635
11,19466.762739,1,994.49,667.59,24.94,25.39,0.8670,5.1026,6.4235,13.5854,0.8424,1,0.1388,0.7846,6.7616
12,19466.778607,1,994.03,659.14,22.53,23.99,0.8643,5.6493,6.7048,13.0154,0.7996,1,0.1404,0.7370,7.0577
13,19466.794482,1,993.25,653.21,22.43,23.46,0.8558,5.6728,6.8553,12.7296,0.7783,1,0.1358,0.6947,7.2161
14,19466.810404,1,992.97,646.76,21.57,23.26,0.8634,5.8987,7.0595,12.3615,0.9139,1,0.1371,0.6495,7.4311
15,19466.826368,1,992.40,641.71,22.17,22.87,0.8470,5.7412,6.7252,12.9760,0.8455,1,0.1250,0.5695,7.0791
16,19466.845774,1,991.21,635.88,23.34,24.36,0.8706,5.4532,6.5987,13.2247,0.9972,1,0.1112,0.5032,6.9460
17,19466.861256,1,989.89,631.27,21.15,23.02,0.8032,6.0160,6.9587,12.5405,0.7967,1,0.1040,0.4842,7.3250
18,19466.877218,1,989.97,624.47,21.80,23.84,0.8081,5.8370,7.1079,12.2773,0.9079,1,0.1071,0.4246,7.4820
19,19466.893473,1,989.03,619.12,21.46,22.93,0.8615,5.9283,7.2606,12.0191,0.9894,1,0.0995,0.3775,7.6427
20,19466.909348,1,988.55,615.38,21.78,22.75,0.8429,5.8421,6.8583,12.7241,0.7134,1,0.0892,0.3193,7.2193
21,19466.924937,1,987.31,610.21,20.71,21.59,0.7944,6.1428,7.3559,11.8633,0.8343,1,0.0825,0.2875,7.7431
22,19466.941171,1,986.75,605.08,20.27,21.61,0.7326,6.2764,7.4876,11.6547,0.8877,1,0.0779,0.2370,7.8817
23,19466.956704,1,986.55,602.38,20.84,21.32,0.7879,6.1047,7.6504,11.4067,0.5418,1,0.0774,0.2123,8.0530
24,19466.972836,1,985.38,599.10,20.56,22.27,0.7578,6.1881,7.5339,11.5830,0.5812,1,0.0634,0.1733,7.9305
25,19466.988806,1,985.30,596.32,20.85,21.34,0.8245,6.1023,7.1447,12.2140,0.6381,1,0.0593,0.1356,7.5208
26,19467.004740,1,984.66,593.77,21.61,22.12,0.8459,5.8883,6.9029,12.6418,0.6308,1,0.0510,0.1055,7.2662
27,19467.020635,1,984.09,591.22,22.30,24.48,0.8800,5.7067,6.7576,12.9138,0.8425,1,0.0442,0.0783,7.1132
28,19467.043338,1,984.17,588.92,22.62,24.29,0.8606,5.6239,6.6178,13.1865,0.8819,1,0.0441,0.0546,6.9661
29,19467.055261,1,983.49,586.46,21.13,23.88,0.8418,6.0210,6.8739,12.6953,0.7773,1,0.0387,0.0319,7.1634
30,19467.071065,1,982.61,585.16,20.81,23.88,0.8597,6.1136,7.1704,12.1702,0.6918,1,0.0313,0.0200,7.4724
31,19467.087379,1,982.00,583.93,20.86,23.15,0.8480,6.0999,6.9419,12.5709,0.8617,1,0.0240,0.0070,7.1676
32,19467.105970,1,982.13,583.22,21.68,23.89,0.7372,5.8691,7.0774,12.3303,0.6201,1,0.0258,0.0001,7.3075
33,19467.120363,1,981.51,582.18,21.55,23.67,0.6943,5.9031,6.7954,12.8419,0.6989,1,0.0188,-0.0100,7.0164
34,19467.137822,1,980.30,580.64,21.13,22.57,0.6280,6.0220,7.1210,12.2546,0.8864,1,0.0074,-0.0260,7.3526
35,19467.153958,1,980.30,580.64,21.13,22.57,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
36,19467.174192,1,980.30,580.64,21.13,22.57,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
37,19467.189662,1,980.30,580.64,21.13,22.57,0.2000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
38,19467.206374,1,980.30,580.64,21.13,22.57,0.1000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
39,19467.223084,1,977.50,581.72,21.32,22.93,0.5332,5.9680,6.9127,12.6239,0.6896,1,-0.0202,-0.0146,7.1375
40,19467.238868,1,977.28,582.19,22.00,23.09,0.6549,5.7826,6.8716,12.6995,0.7738,1,-0.0223,-0.0100,7.0951
41,19467.254685,1,976.99,582.98,22.39,23.04,0.6252,5.6837,6.6808,13.0621,0.7471,1,-0.0244,-0.0022,6.8981
42,19467.271174,1,975.34,583.23,21.38,22.17,0.6628,5.9501,6.9037,12.6404,0.7797,1,-0.0414,0.0001,7.1282
