frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
0,19670.296633,0,,,,,,,,,,,,,,
1,19670.315939,0,,,,,,,,,,,,,,
2,19670.339426,0,,,,,,,,,,,,,,
3,19670.365225,0,,,,,,,,,,,,,,
4,19670.386081,0,,,,,,,,,,,,,,
5,19670.403043,0,,,,,,,,,,,,,,
6,19670.433594,1,985.14,616.86,19.46,18.82,0.5622,6.5379,7.9415,10.9879,0.8825,1,0.0641,0.3869,8.3594
7,19670.445431,1,985.14,616.86,19.46,18.82,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
8,19670.459763,1,985.14,616.86,19.46,18.82,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
9,19670.477869,1,985.14,616.86,19.46,18.82,0.2000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
10,19670.499472,1,985.14,616.86,19.46,18.82,0.1000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
11,19670.526028,1,985.14,616.86,19.46,18.82,0.0000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
12,19670.550336,0,,,,,,,,,,,,,,
13,19670.567731,1,985.18,616.98,20.02,19.25,0.5917,6.3567,7.5563,11.5480,0.8839,1,0.0614,0.3694,7.9540
14,19670.583510,1,985.18,616.98,20.02,19.25,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
15,19670.600117,1,985.18,616.98,20.02,19.25,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
16,19670.617575,1,984.86,616.84,19.38,19.14,0.6243,6.5642,8.0047,10.9010,0.9516,1,0.0614,0.3897,8.4260
17,19670.632782,1,984.86,616.84,19.38,19.14,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
18,19670.648717,1,984.86,616.84,19.38,19.14,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
19,19670.665462,1,985.36,617.33,19.95,20.31,0.7606,6.3792,7.5286,11.5905,0.9556,1,0.0631,0.3718,7.9248
20,19670.680496,1,985.36,617.33,19.95,20.31,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
21,19670.697211,1,985.46,617.51,20.55,20.24,0.7944,6.1900,7.4918,11.6473,0.9939,1,0.0640,0.3720,7.8861
22,19670.713078,1,985.24,617.39,19.92,19.75,0.6910,6.3867,7.4770,11.6704,0.9435,1,0.0615,0.3700,7.8705
23,19670.730859,1,985.24,617.39,19.92,19.75,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
24,19670.747788,1,985.24,617.39,19.92,19.75,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
25,19670.763661,1,985.24,617.39,19.92,19.75,0.2000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
26,19670.779485,1,985.24,617.39,19.92,19.75,0.1000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
27,19670.795367,1,985.24,617.39,19.92,19.75,0.0000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
28,19670.811136,0,,,,,,,,,,,,,,
29,19670.827013,0,,,,,,,,,,,,,,
30,19670.842829,0,,,,,,,,,,,,,,
31,19670.860798,1,984.67,619.67,20.23,20.02,0.6188,6.2904,7.4202,11.7598,0.8767,1,0.0548,0.3917,7.8107
32,19670.875345,1,984.67,619.67,20.23,20.02,0.4000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
33,19670.892078,1,984.67,619.67,20.23,20.02,0.3000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
34,19670.909399,1,984.67,619.67,20.23,20.02,0.2000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
35,19670.926405,1,984.67,619.67,20.23,20.02,0.1000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
36,19670.941394,1,984.67,619.67,20.23,20.02,0.0000,0.0000,-1.0000,-1.0000,0.0000,0,0.0000,0.0000,0.0000
37,19670.960359,0,,,,,,,,,,,,,,
38,19670.976304,0,,,,,,,,,,,,,,
39,19670.993586,0,,,,,,,,,,,,,,
40,19671.009550,0,,,,,,,,,,,,,,
41,19671.026386,0,,,,,,,,,,,,,,
42,19671.043116,0,,,,,,,,,,,,,,
43,19671.060112,0,,,,,,,,,,,,,,
44,19671.076076,0,,,,,,,,,,,,,,
45,19671.093338,0,,,,,,,,,,,,,,
46,19671.108119,0,,,,,,,,,,,,,,
47,19671.126572,0,,,,,,,,,,,,,,
48,19671.141812,0,,,,,,,,,,,,,,
49,19671.159934,0,,,,,,,,,,,,,,
50,19671.176678,0,,,,,,,,,,,,,,
51,19671.191819,0,,,,,,,,,,,,,,
52,19671.212960,0,,,,,,,,,,,,,,
53,19671.229643,0,,,,,,,,,,,,,,
54,19671.244904,0,,,,,,,,,,,,,,
55,19671.261620,1,985.77,623.73,19.07,20.09,0.7813,6.6732,7.7915,11.1993,0.7804,1,0.0700,0.4571,8.2016
56,19671.277266,1,986.15,622.63,20.48,20.30,0.5477,6.2137,6.9783,12.5045,0.8289,1,0.0660,0.3947,7.2793
57,19671.293404,1,985.37,620.57,20.17,20.50,0.7691,6.3075,7.2887,11.9719,0.9304,1,0.0607,0.3906,7.6031
58,19671.310147,1,985.62,617.91,20.03,21.16,0.8333,6.3518,7.2762,11.9926,0.9680,1,0.0626,0.3587,7.5167
