case,status,return_code,fps_last,stale_drop_last,gpu_candidates_avg_ms,gpu_candidates_max_ms,dual_yolo_match_avg_ms,dual_yolo_match_max_ms,subpixel_avg_ms,subpixel_max_ms,subpixel_p95_ms,subpixel_p99_ms,neural_avg_ms,neural_max_ms,neural_p95_ms,neural_p99_ms,algo_stage,algo_avg_ms,algo_max_ms,algo_p95_ms,algo_p99_ms,algo_count,opencv_cuda_orb_avg_ms,opencv_cuda_orb_max_ms,opencv_cuda_orb_p95_ms,opencv_cuda_orb_p99_ms,opencv_cuda_template_avg_ms,opencv_cuda_template_max_ms,opencv_cuda_template_p95_ms,opencv_cuda_template_p99_ms,cuda_template_ncc_avg_ms,cuda_template_ncc_max_ms,cuda_template_ncc_p95_ms,cuda_template_ncc_p99_ms,opencv_cuda_stereo_bm_avg_ms,opencv_cuda_stereo_bm_max_ms,opencv_cuda_stereo_bm_p95_ms,opencv_cuda_stereo_bm_p99_ms,opencv_cuda_stereo_sgm_avg_ms,opencv_cuda_stereo_sgm_max_ms,opencv_cuda_stereo_sgm_p95_ms,opencv_cuda_stereo_sgm_p99_ms,cpu_opencv_avg_ms,cpu_opencv_max_ms,cpu_opencv_orb_avg_ms,cpu_opencv_brisk_avg_ms,cpu_opencv_akaze_avg_ms,cpu_opencv_sift_avg_ms,cpu_fallback_avg_ms,cpu_fallback_max_ms,cpu_fallback_count,async_worker_avg_ms,async_worker_max_ms,async_worker_p95_ms,async_worker_p99_ms,async_worker_count,async_over_deadline_count,async_drop_stale_count,async_drop_stale_ready_count,async_drop_expired_pending_count,async_drop_pending_count,async_drop_no_buffer_count,async_submit_drop_count,async_no_detections_count,async_submitted_count,async_accepted_count,async_accepted_reused_count,async_frame_callback_skipped_count,async_need_host_gray_count,async_need_bgr_count,async_skip_host_gray_selective_count,async_skip_bgr_selective_count,async_host_gray_submit_avg_ms,async_host_gray_submit_count,async_gray_submit_avg_ms,async_bgr_submit_avg_ms,async_copy_wait_avg_ms,async_slot_copy_wait_avg_ms,async_worker_busy_count,stage2_drop_stale_roi_count,p2_configured_count,p2_realtime_requested_count,p2_realtime_not_attempted_count,p2_not_triggered_count,p2_skip_selective_count,p2_trigger_pair_low_iou_count,p2_trigger_pair_epipolar_dy_count,p2_trigger_pair_low_conf_count,p2_trigger_no_valid_pair_count,p2_inline_skipped_selective_count,candidate_rows,candidate_valid,candidate_rate,candidate_median_m,candidate_mad_m,support_median,field_valids,target_rows,p2_diag_rows,p2_diag_valid,p2_diag_invalid,p2_diag_rate,p2_diag_over_deadline,p2_diag_median_m,p2_diag_mad_m,p2_diag_support_median,p2_diag_attempted_median,p2_diag_status_counts,p2_diag_mode_counts,p2_diag_path,p2_diag_debug_match_rows,p2_diag_debug_matches_median,p2_diag_artifacts,p2_diag_artifact_dirs,diagnosis,debug_feature_dir,debug_realtime_dir,debug_feature_rc,debug_realtime_rc,neural_stub_or_unbound,log,note,last_error_or_warn,debug_p2_artifact_dir
neural_aliked_t16_128_top64_b2_gate_off,ran_timeout,124,89.9,1,,,9.67,243.70,,,,,,,,,Stage2_NeuralAlikedMatch,9.50,243.12,9.45,10.43,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.80,243.77,9.76,10.81,573,3,1,,18,,,,,591,571,571,571,,,,,,,0.07,,0.10,0.00,591,1,591,591,,,,,,,,,573,561,0.979,3.3565,0.1472,1.0,z_roi_neural_aliked=561/573,573,,,,,,,,,,,,,,,,,late_or_deadline_dropped,/home/nvidia/NX_volleyball/stereo_3d_pipeline/test_logs/aliked_dcn_vs_nodcn_true_gateoff_visible_20260706_120242/debug/neural_aliked_t16_128_top64_b2_gate_off/feature_matches,/home/nvidia/NX_volleyball/stereo_3d_pipeline/test_logs/aliked_dcn_vs_nodcn_true_gateoff_visible_20260706_120242/debug/neural_aliked_t16_128_top64_b2_gate_off/realtime_zoom,0,124,no,/home/nvidia/NX_volleyball/stereo_3d_pipeline/test_logs/aliked_dcn_vs_nodcn_true_gateoff_visible_20260706_120242/logs/neural_aliked_t16_128_top64_b2_gate_off.log,diagnostic only: current ALIKED with neural and final geometry gates relaxed/off,[7866.399][T255682][WARN ] [HikCam] Frame pair realigned: reads=2 Lfc=72/Rfc=72 frame_counter_delta=0 frame_delta=0 trigger_delta=0 offset_err=870ns,/home/nvidia/NX_volleyball/stereo_3d_pipeline/test_logs/aliked_dcn_vs_nodcn_true_gateoff_visible_20260706_120242/debug/neural_aliked_t16_128_top64_b2_gate_off/p2_artifacts
neural_aliked_t16_nodcn_128_top64_b2_gate_off,ran_timeout,124,83.1,0,,,8.50,12.50,,,,,,,,,Stage2_NeuralAlikedMatch,8.32,11.99,9.11,9.89,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61,12.57,9.45,10.22,589,1,,,,,,,,589,588,585,585,,,,,,,0.07,,0.09,0.00,589,,589,589,,,,,,,,,590,590,1.000,3.2754,0.0079,26.0,z_roi_neural_aliked=590/590,590,,,,,,,,,,,,,,,,,late_or_deadline_dropped,/home/nvidia/NX_volleyball/stereo_3d_pipeline/test_logs/aliked_dcn_vs_nodcn_true_gateoff_visible_20260706_120242/debug/neural_aliked_t16_nodcn_128_top64_b2_gate_off/feature_matches,/home/nvidia/NX_volleyball/stereo_3d_pipeline/test_logs/aliked_dcn_vs_nodcn_true_gateoff_visible_20260706_120242/debug/neural_aliked_t16_nodcn_128_top64_b2_gate_off/realtime_zoom,0,124,no,/home/nvidia/NX_volleyball/stereo_3d_pipeline/test_logs/aliked_dcn_vs_nodcn_true_gateoff_visible_20260706_120242/logs/neural_aliked_t16_nodcn_128_top64_b2_gate_off.log,diagnostic only: ALIKED t16 no-DCN baseline with neural and final geometry gates relaxed/off,[7890.559][T256906][WARN ] [PerfOutlier] Stage0_WaitGrab frame=467 slot=2 ms=17.30 ok=1,/home/nvidia/NX_volleyball/stereo_3d_pipeline/test_logs/aliked_dcn_vs_nodcn_true_gateoff_visible_20260706_120242/debug/neural_aliked_t16_nodcn_128_top64_b2_gate_off/p2_artifacts
